               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10431,            0.028446,                   0,           0.0029787,             0.79245,            0.019896,           0.0049386,            0.067027,             0.02004,                   0,              0.0784,              0.0024,              0.0024
                   1,            0.070639,            0.025493,                   0,             0.40182,             0.49057,             0.39893,             0.12204,            0.053919,            0.013334,                   0,            0.055851,           0.0048515,           0.0048515
                   2,             0.06109,             0.02107,                   0,             0.46367,             0.45283,             0.37035,            0.097166,            0.056624,            0.011199,                   0,            0.033253,           0.0072535,           0.0072535
                   3,            0.056727,            0.020059,                   0,             0.74388,             0.69811,             0.77923,              0.3537,            0.058476,           0.0094673,                   0,            0.010606,            0.009606,            0.009606
                   4,            0.051226,            0.018707,                   0,             0.81294,             0.77358,             0.85799,             0.38545,            0.042742,           0.0085927,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.046302,            0.015244,                   0,             0.85678,             0.75472,             0.90075,             0.37743,            0.044283,           0.0068622,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.041632,            0.014858,                   0,             0.72268,             0.90566,             0.86978,             0.47863,            0.046645,           0.0066403,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.040267,            0.012588,                   0,             0.96201,             0.95573,             0.97694,             0.58522,            0.041179,           0.0058116,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.038741,            0.012349,                   0,              0.9737,              0.9434,             0.98108,             0.60762,            0.037801,           0.0053211,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.034764,            0.011816,                   0,             0.94417,             0.95733,             0.97375,             0.60189,            0.036738,           0.0051659,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.034661,            0.010994,                   0,             0.93907,              0.9434,             0.95857,             0.48866,            0.034668,           0.0050335,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.03313,            0.010514,                   0,             0.98104,             0.97642,             0.98322,             0.68697,            0.030944,           0.0045596,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.032354,            0.010065,                   0,             0.98111,             0.97982,              0.9804,             0.62323,            0.031759,           0.0045758,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.030614,            0.009721,                   0,             0.97921,             0.98113,             0.98189,             0.56994,            0.032786,           0.0048417,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.030957,           0.0094199,                   0,             0.94222,             0.98113,             0.97995,             0.58765,            0.028281,           0.0045771,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.029514,           0.0090063,                   0,             0.97736,             0.98113,             0.98328,              0.7005,            0.025702,           0.0043769,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.028852,            0.008794,                   0,             0.97899,             0.98113,             0.98251,             0.66369,            0.024568,           0.0043858,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.02856,           0.0088418,                   0,              0.9797,             0.98113,             0.98295,             0.65153,            0.029171,           0.0042211,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.028771,           0.0089178,                   0,             0.97923,             0.98113,             0.98407,             0.68209,            0.025081,           0.0042483,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.027224,           0.0086964,                   0,             0.97903,             0.98113,             0.98327,             0.70495,            0.023768,           0.0042734,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.027073,           0.0086467,                   0,             0.97788,             0.98113,             0.98427,             0.68708,            0.025149,            0.004331,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.027545,           0.0085465,                   0,             0.97892,             0.98113,             0.98404,             0.71223,            0.026187,           0.0042572,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.02545,           0.0087847,                   0,             0.97848,             0.98113,              0.9824,             0.67505,            0.024536,           0.0043219,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.026226,           0.0088538,                   0,             0.97858,             0.98113,             0.98245,               0.727,            0.024398,           0.0041853,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.025518,           0.0086518,                   0,             0.97759,             0.98113,             0.97945,             0.70274,             0.02042,           0.0041382,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.023942,            0.008092,                   0,             0.97911,             0.98113,             0.98418,             0.69452,            0.021693,           0.0040562,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.024893,           0.0083545,                   0,             0.97949,             0.98113,             0.98466,             0.70645,            0.023032,           0.0040844,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.024604,           0.0079402,                   0,             0.97879,             0.98113,             0.98278,             0.70243,            0.027389,           0.0040656,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.023738,           0.0081705,                   0,             0.97954,             0.98113,             0.98263,             0.70101,            0.024855,           0.0039897,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.023241,           0.0080761,                   0,             0.98059,             0.98113,             0.98147,             0.69666,            0.023023,           0.0039983,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.023394,           0.0081133,                   0,             0.98034,             0.98113,              0.9809,             0.67695,            0.021885,           0.0039855,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.022106,           0.0082354,                   0,             0.98029,             0.98113,             0.98502,             0.72257,            0.022207,           0.0038898,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.022888,           0.0082413,                   0,             0.97932,             0.98113,             0.98367,              0.7221,            0.027488,           0.0039067,                   0,            0.006931,            0.006931,            0.006931
                  33,             0.02259,           0.0080182,                   0,             0.97955,             0.98113,             0.98116,             0.70431,            0.025896,            0.003992,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.021812,           0.0079249,                   0,             0.97808,             0.98113,             0.98332,             0.70865,            0.025759,           0.0039846,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.022532,           0.0079215,                   0,             0.97963,             0.98113,             0.98488,             0.70154,            0.025747,           0.0041038,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.020753,           0.0076787,                   0,             0.97964,             0.98113,             0.98257,             0.69905,             0.02496,           0.0039505,                   0,            0.006535,            0.006535,            0.006535
                  37,             0.02148,           0.0073151,                   0,             0.97975,             0.98113,             0.98545,             0.69206,            0.023641,           0.0039651,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.020983,            0.007485,                   0,             0.97993,             0.98113,             0.98895,             0.70141,            0.024596,           0.0040173,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.021063,           0.0076324,                   0,             0.98008,             0.98113,             0.99075,             0.71605,            0.022985,           0.0039003,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.020879,           0.0071544,                   0,             0.98023,             0.98113,             0.98798,             0.73054,            0.025918,           0.0039132,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.02134,           0.0074017,                   0,             0.98018,             0.98113,             0.98603,             0.73127,            0.022091,           0.0038505,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.022302,           0.0072189,                   0,             0.97956,             0.98113,             0.98969,             0.70127,            0.025403,           0.0039886,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.022514,            0.007311,                   0,             0.97879,             0.98113,             0.98741,             0.72736,            0.023779,           0.0037887,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.020559,           0.0076101,                   0,              0.9789,             0.98113,             0.98433,             0.72624,            0.023183,           0.0038276,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.019428,           0.0068273,                   0,             0.97968,             0.98113,             0.98611,              0.7433,            0.021599,            0.003817,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.019821,           0.0069869,                   0,             0.97986,             0.98113,             0.98377,             0.72744,            0.022961,           0.0039607,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.020319,           0.0073348,                   0,             0.97988,             0.98113,             0.98386,             0.74305,            0.021294,           0.0038697,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.019692,           0.0070483,                   0,             0.97948,             0.98113,             0.98102,             0.73499,            0.022227,           0.0038113,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.019307,           0.0074436,                   0,             0.97927,             0.98113,             0.98304,             0.72883,            0.022899,           0.0039501,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.018834,           0.0073085,                   0,             0.97923,             0.98113,             0.98482,             0.74566,            0.020203,            0.003922,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.019836,           0.0068652,                   0,             0.97955,             0.98113,             0.98591,             0.73837,            0.021936,           0.0038864,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.019195,           0.0067215,                   0,             0.97989,             0.98113,             0.98225,             0.73462,             0.02053,           0.0041254,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.019288,           0.0069491,                   0,             0.97993,             0.98113,             0.97818,             0.72588,            0.022657,            0.004053,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.018597,           0.0072626,                   0,             0.98009,             0.98113,              0.9783,             0.72336,            0.020906,           0.0042164,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.019795,           0.0067452,                   0,             0.97948,             0.98113,             0.97683,             0.74288,            0.021613,           0.0038954,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.017882,           0.0069283,                   0,             0.97938,             0.98113,             0.98083,             0.72884,            0.022805,           0.0040203,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.018922,           0.0070264,                   0,             0.97978,             0.98113,             0.98384,             0.73293,            0.022322,           0.0038498,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.018615,           0.0068218,                   0,             0.97957,             0.98113,             0.98193,             0.73255,            0.023134,           0.0038547,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.01812,           0.0065659,                   0,             0.98001,             0.98113,             0.98253,             0.75837,            0.020915,           0.0038872,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.017825,           0.0065526,                   0,             0.97972,             0.98113,             0.98352,             0.72727,            0.020929,           0.0038375,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.018754,           0.0074267,                   0,             0.97921,             0.98113,              0.9794,             0.73973,            0.021563,              0.0039,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.017035,             0.00652,                   0,             0.97935,             0.98113,             0.97889,             0.73523,            0.021764,           0.0038762,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.017812,           0.0067347,                   0,             0.98016,             0.98113,             0.98083,             0.72897,            0.021179,           0.0039814,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.01717,           0.0067292,                   0,             0.97996,             0.98113,             0.98376,             0.72926,            0.021432,           0.0038937,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.017286,           0.0062693,                   0,             0.97965,             0.98113,             0.98409,             0.74869,             0.02053,           0.0038667,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.017616,           0.0063956,                   0,             0.97958,             0.98113,             0.97829,             0.72679,            0.023023,           0.0039311,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.017526,           0.0067063,                   0,             0.97958,             0.98113,             0.97474,              0.7211,            0.020236,           0.0039133,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.017491,           0.0067537,                   0,             0.97973,             0.98113,             0.97489,             0.71839,             0.02042,           0.0039158,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.017204,           0.0064358,                   0,             0.97966,             0.98113,             0.97977,             0.73118,             0.02228,           0.0038952,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.017441,           0.0066464,                   0,             0.97951,             0.98113,             0.97521,             0.73225,            0.020554,           0.0039119,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.016782,           0.0064057,                   0,             0.97973,             0.98113,             0.97692,             0.71914,            0.021423,           0.0038667,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.018079,            0.006654,                   0,             0.97994,             0.98113,             0.97786,             0.72593,            0.021051,           0.0040531,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.016371,           0.0063653,                   0,              0.9798,             0.98113,             0.98001,             0.73872,            0.020777,           0.0039016,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.015979,           0.0067814,                   0,             0.97979,             0.98113,             0.97932,              0.7384,            0.021611,           0.0039041,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.016857,           0.0065046,                   0,             0.97972,             0.98113,             0.97937,             0.72591,            0.021229,           0.0039855,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.016201,           0.0067014,                   0,             0.97972,             0.98113,             0.97935,             0.73155,            0.021942,           0.0040793,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.016718,           0.0063873,                   0,             0.97979,             0.98113,              0.9789,             0.73153,            0.022265,           0.0039424,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.016899,           0.0066121,                   0,             0.97979,             0.98113,             0.98283,             0.73863,             0.02183,           0.0038158,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.01598,           0.0066394,                   0,             0.97967,             0.98113,             0.98334,             0.73485,             0.02128,           0.0037892,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.016365,           0.0066218,                   0,             0.97971,             0.98113,             0.98283,             0.74751,            0.022447,           0.0038102,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.015754,           0.0064196,                   0,             0.97982,             0.98113,             0.98248,              0.7409,            0.021084,           0.0038264,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.01628,           0.0061876,                   0,              0.9798,             0.98113,             0.98138,             0.74403,            0.020282,           0.0038682,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.016581,           0.0066079,                   0,              0.9798,             0.98113,             0.97937,             0.75109,            0.021024,           0.0039148,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.016062,           0.0066301,                   0,             0.97985,             0.98113,             0.98151,             0.74665,            0.021051,           0.0038141,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.01637,           0.0062558,                   0,             0.97982,             0.98113,             0.97975,             0.73083,            0.020704,           0.0038541,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.015584,           0.0063177,                   0,             0.97989,             0.98113,             0.97978,             0.73096,             0.02075,           0.0038942,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.015481,           0.0064232,                   0,             0.97974,             0.98113,             0.97745,               0.729,             0.02075,           0.0039303,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.01619,           0.0064672,                   0,             0.97981,             0.98113,              0.9794,             0.74766,            0.020931,           0.0038223,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.015753,           0.0062888,                   0,             0.97986,             0.98113,               0.979,             0.74204,            0.021549,            0.003831,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.015095,           0.0061085,                   0,              0.9798,             0.98113,             0.97935,             0.74731,            0.021948,           0.0039124,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.016124,           0.0064203,                   0,             0.97972,             0.98113,             0.98331,             0.74082,            0.021193,           0.0038432,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.015247,           0.0062645,                   0,             0.97971,             0.98113,             0.98225,              0.7492,            0.020754,           0.0038416,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.015051,           0.0059627,                   0,             0.97976,             0.98113,             0.98187,             0.74129,            0.021486,           0.0038378,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.015573,           0.0060516,                   0,             0.97975,             0.98113,             0.98009,             0.74472,            0.020915,           0.0038159,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.014775,           0.0060814,                   0,             0.97988,             0.98113,             0.98072,              0.7535,            0.021432,           0.0038063,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.015266,           0.0065892,                   0,             0.97987,             0.98113,             0.98073,             0.74825,            0.021377,           0.0038574,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.016177,             0.00623,                   0,              0.9798,             0.98113,             0.98149,             0.74626,             0.02203,             0.00386,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.01465,           0.0062098,                   0,              0.9798,             0.98113,             0.98186,              0.7393,            0.021628,           0.0038574,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.015565,           0.0061215,                   0,             0.97978,             0.98113,              0.9827,             0.74252,            0.021446,           0.0038562,                   0,            0.000298,            0.000298,            0.000298
